Date,서진시스템,서진시스템_증감,비에이치아이,비에이치아이_증감,비나텍,비나텍_증감,삼성SDI,삼성SDI_증감,HD건설기계,HD건설기계_증감,성일하이텍,성일하이텍_증감,에코프로비엠,에코프로비엠_증감,에코프로,에코프로_증감,한중엔시에스,한중엔시에스_증감,SNT에너지,SNT에너지_증감,포스코퓨처엠,포스코퓨처엠_증감,코세스,코세스_증감,신성에스티,신성에스티_증감,LG에너지솔루션,LG에너지솔루션_증감,이랜텍,이랜텍_증감,엘앤에프,엘앤에프_증감,LS ELECTRIC,LS ELECTRIC_증감,아모센스,아모센스_증감,지엔씨에너지,지엔씨에너지_증감,에코프로머티,에코프로머티_증감,한선엔지니어링,한선엔지니어링_증감,두산퓨얼셀,두산퓨얼셀_증감,두산에너빌리티,두산에너빌리티_증감,대명에너지,대명에너지_증감,LS머트리얼즈,LS머트리얼즈_증감
2026-03-03,7.53,-,6.62,-,6.54,-,5.95,-,5.65,-,5.57,-,5.11,-,4.91,-,4.74,-,4.34,-,4.32,-,4.29,-,4.21,-,3.8,-,3.74,-,3.39,-,3.27,-,3.18,-,2.72,-,1.93,-,,,,,,,,,,
2026-03-04,7.27,0,6.92,0,7.2,0,5.58,0,6.06,0,5.44,0,4.94,0,4.67,0,4.58,0,4.43,0,4.25,0,4.56,0,4.1,0,3.75,0,3.68,0,3.25,0,3.18,0,3.31,0,2.71,0,1.95,0,,,,,,,,,,
2026-03-05,7.59,0,6.76,0,7.13,0,5.74,0,6.09,0,5.47,0,4.9,0,4.55,0,4.33,0,4.33,0,4.15,0,4.23,0,4.11,0,3.96,0,3.78,0,3.22,0,3.34,0,3.46,0,2.78,0,1.9,0,,,,,,,,,,
2026-03-06,8.28,0,6.44,0,7.2,0,5.63,0,5.72,0,5.41,0,5.07,0,4.8,0,4.25,0,4.26,0,4.09,0,4.78,0,4.08,0,3.72,0,3.64,0,3.24,0,3.28,0,3.24,0,2.79,0,1.91,0,,,,,,,,,,
2026-03-09,7.88,0,7.16,0,7.6,0,5.59,0,5.41,0,5.46,0,4.99,0,4.81,0,4.58,0,4.13,0,4.02,0,4.52,0,4.06,0,3.58,0,3.55,0,3.41,0,3.12,0,3.29,0,2.75,0,2.02,0,,,,,,,,,,
2026-03-10,8.07,0,7.74,0,7.39,0,5.55,0,5.53,0,5.45,0,5.23,0,4.86,0,4.47,0,4.46,0,3.96,0,4.11,0,3.93,0,3.57,0,3.5,0,3.41,0,3.17,0,3.03,0,2.72,0,1.97,0,,,,,,,,,,
2026-03-11,7.69,0,8.02,0,7.98,🔴▲ 16,5.55,0,5.6,0,5.68,🔴▲ 49,5.05,0,4.7,0,4.78,0,4.62,🔴▲ 65,3.96,0,4.17,0,4.05,0,1.76,🔵▼ 31,3.5,0,3.76,🔴▲ 27,3.25,0,3.19,0,2.76,0,1.93,0,,,,,,,,,,
2026-03-12,7.5,0,7.5,0,8.59,0,5.38,0,5.45,0,5.36,0,4.81,0,4.52,0,5.08,0,4.63,0,3.88,0,4.42,0,4.0,0,1.73,0,3.54,0,3.71,0,3.17,0,4.05,0,2.63,0,1.95,0,1.75,0,,,,,,,,
2026-03-13,7.46,0,7.33,0,8.28,0,5.3,0,5.38,0,5.31,0,4.74,0,4.35,0,5.33,0,4.78,0,3.82,0,4.33,0,3.91,0,1.77,0,3.39,0,3.58,0,3.19,0,4.78,0,2.64,0,1.9,0,2.24,0,,,,,,,,
2026-03-16,7.49,0,7.87,🔴▲ 20,8.21,🔵▼ 18,5.1,0,5.45,0,5.15,0,1.67,🔵▼ 102,1.27,🔵▼ 128,5.22,0,4.81,0,3.44,0,4.86,0,4.02,0,1.69,0,3.32,0,1.97,🔵▼ 90,3.2,0,4.94,0,2.57,0,1.01,🔵▼ 79,3.76,🔴▲ 475,3.1,🔴▲ 439,2.17,🔴▲ 130,1.84,🔴▲ 618,,
2026-03-17,7.71,0,7.86,0,7.66,0,5.14,0,5.25,0,5.64,0,1.67,0,1.25,0,5.31,0,4.77,0,3.51,0,4.78,0,3.97,0,1.71,0,3.34,0,1.98,0,3.2,0,5.05,0,2.53,0,1.01,0,3.8,0,2.94,0,2.2,0,1.9,0,,
2026-03-18,7.59,0,8.13,0,7.23,0,5.21,0,5.3,0,5.93,0,1.72,0,1.28,0,4.77,0,4.6,0,3.54,0,4.8,0,3.98,0,1.77,0,3.41,0,2.07,0,3.33,0,5.0,0,2.59,0,1.01,0,3.88,0,2.92,0,2.17,0,1.88,0,,
2026-03-19,7.44,0,8.08,0,7.41,0,5.37,0,5.32,0,5.9,0,1.73,0,1.31,0,4.7,0,4.53,0,3.64,0,4.76,0,4.01,0,1.77,0,3.37,0,2.07,0,3.6,0,4.68,0,2.53,0,1.01,0,3.65,0,3.14,0,2.21,0,1.87,0,,
2026-03-20,7.58,0,8.1,0,7.73,0,5.41,0,5.57,0,5.81,0,1.69,0,1.3,0,4.56,0,4.54,0,3.65,0,4.61,0,3.95,0,1.74,0,3.3,0,2.04,0,3.82,0,4.4,0,2.47,0,0.99,0,3.57,0,3.16,0,2.22,0,1.93,0,,
2026-03-23,7.87,0,8.35,0,7.82,0,5.29,0,5.03,🔵▼ 25,5.35,🔵▼ 57,1.68,0,0.29,🔵▼ 44,4.55,0,4.45,🔵▼ 160,1.62,🔵▼ 67,3.89,🔵▼ 124,3.88,0,1.73,0,3.39,0,1.58,🔵▼ 30,3.81,0,3.76,🔵▼ 152,2.56,0,0.5,🔵▼ 54,3.52,0,2.83,0,2.24,0,2.14,0,7.37,"🔴▲ 1,964"
2026-03-24,8.46,0,7.94,0,7.0,0,5.51,0,5.25,0,5.3,0,4.45,🔴▲ 89,1.37,🔴▲ 46,4.69,0,4.33,0,1.68,0,3.6,0,3.92,0,1.89,0,3.5,0,1.85,0,3.67,0,3.78,0,2.52,0,0.57,0,3.44,0,0.33,🔵▼ 401,2.15,0,1.99,0,6.42,0
2026-03-25,8.46,"0 | ₩48,800 (-0.81%)",7.94,"0 | ₩103,500 (+4.33%)",7.0,"0 | ₩113,700 (-7.18%)",5.51,"0 | ₩401,500 (+1.01%)",5.25,"0 | ₩136,300 (+3.02%)",5.3,"0 | ₩59,200 (+5.71%)",4.45,"0 | ₩200,500 (+3.89%)",1.37,"0 | ₩150,300 (+0.87%)",4.69,"0 | ₩52,400 (+1.55%)",4.33,"0 | ₩48,350 (-2.22%)",1.68,"0 | ₩202,000 (+2.85%)",3.6,"0 | ₩23,750 (+4.40%)",3.92,"0 | ₩34,350 (+2.38%)",1.89,"0 | ₩387,500 (-1.27%)",3.5,"0 | ₩11,610 (+13.94%)",1.85,"0 | ₩143,600 (+14.88%)",3.67,"0 | ₩838,000 (+3.08%)",3.78,"0 | ₩23,550 (+14.88%)",2.52,"0 | ₩35,650 (+7.06%)",0.57,"0 | ₩70,700 (+3.97%)",3.44,"0 | ₩14,260 (-0.97%)",0.33,"0 | ₩39,200 (+2.89%)",2.15,"0 | ₩102,600 (+2.50%)",1.99,"0 | ₩20,500 (-0.97%)",6.42,"0 | ₩20,850 (-0.71%)"
