Date,레인보우로보틱스,레인보우로보틱스_증감,삼성SDI,삼성SDI_증감,파두,파두_증감,POSCO홀딩스,POSCO홀딩스_증감,SK이노베이션,SK이노베이션_증감,비나텍,비나텍_증감,에스피지,에스피지_증감,로보티즈,로보티즈_증감,이노스페이스,이노스페이스_증감,하이브,하이브_증감,스피어,스피어_증감,에이비엘바이오,에이비엘바이오_증감,인텔리안테크,인텔리안테크_증감,쎄트렉아이,쎄트렉아이_증감,레이크머티리얼즈,레이크머티리얼즈_증감,LG에너지솔루션,LG에너지솔루션_증감,엔씨소프트,엔씨소프트_증감,알테오젠,알테오젠_증감,더존비즈온,더존비즈온_증감,미래에셋벤처투자,미래에셋벤처투자_증감,크래프톤,크래프톤_증감,에코프로,에코프로_증감,대한광통신,대한광통신_증감,RF머트리얼즈,RF머트리얼즈_증감,비츠로넥스텍,비츠로넥스텍_증감,삼천당제약,삼천당제약_증감,대주전자재료,대주전자재료_증감
2026-03-03,8.8,"- | ₩840,000 (-2.33%)",6.98,"- | ₩408,000 (-12.45%)",6.29,"- | ₩59,000 (-0.51%)",5.74,"- | ₩374,500 (-9.32%)",5.13,"- | ₩130,900 (+2.51%)",4.52,"- | ₩126,900 (+2.67%)",4.23,"- | ₩134,800 (-6.78%)",4.22,"- | ₩258,000 (-10.57%)",4.14,"- | ₩16,930 (-7.03%)",3.97,"- | ₩359,500 (-7.23%)",3.76,"- | ₩42,950 (+0.12%)",3.69,"- | ₩184,600 (-4.85%)",3.54,"- | ₩116,700 (-3.55%)",3.48,"- | ₩179,400 (-5.68%)",3.46,"- | ₩21,450 (-9.30%)",3.12,"- | ₩393,000 (-7.96%)",3.04,"- | ₩219,500 (-4.98%)",2.98,"- | ₩383,000 (-6.01%)",2.6,"- | ₩118,400 (+0.00%)",2.4,"- | ₩22,050 (+0.92%)",,,,,,,,,,,,,,
2026-03-04,9.05,"0 | ₩704,000 (-16.19%)",6.43,"0 | ₩351,000 (-13.97%)",6.58,"0 | ₩54,500 (-7.63%)",5.47,"0 | ₩321,500 (-14.15%)",5.54,"0 | ₩109,000 (-16.73%)",4.88,"0 | ₩105,200 (-17.10%)",4.15,"0 | ₩108,400 (-19.58%)",3.97,"0 | ₩207,500 (-19.57%)",4.05,"0 | ₩14,010 (-17.25%)",3.87,"0 | ₩327,000 (-9.04%)",3.97,"0 | ₩35,300 (-17.81%)",3.69,"0 | ₩152,900 (-17.17%)",3.59,"0 | ₩100,000 (-14.31%)",3.45,"0 | ₩151,700 (-15.44%)",3.3,"0 | ₩18,000 (-16.08%)",3.02,"0 | ₩347,500 (-11.58%)",3.04,"0 | ₩195,600 (-10.89%)",2.95,"0 | ₩332,000 (-13.32%)",2.73,"0 | ₩118,400 (+0.00%)",2.54,"0 | ₩17,700 (-19.73%)",,,,,,,,,,,,,,
2026-03-05,8.86,"0 | ₩837,000 (+18.89%)",6.44,"🔵▼ 1 | ₩392,500 (+11.82%)",7.1,"0 | ₩66,100 (+21.28%)",5.49,"0 | ₩346,500 (+7.78%)",5.38,"🔵▼ 1 | ₩126,500 (+16.06%)",4.73,"0 | ₩121,000 (+15.02%)",3.9,"0 | ₩126,900 (+17.07%)",3.73,"0 | ₩235,000 (+13.25%)",3.91,"🔵▼ 5 | ₩16,070 (+14.70%)",4.11,"0 | ₩343,000 (+4.89%)",0,"🔵▼ 1,200 | ₩45,850 (+29.89%)",3.56,"🔵▼ 1 | ₩177,100 (+15.83%)",3.6,"0 | ₩120,800 (+20.80%)",6.54,"🔴▲ 230 | ₩182,600 (+20.37%)",4.04,"🔴▲ 500 | ₩20,600 (+14.44%)",3.09,"🔵▼ 1 | ₩371,500 (+6.91%)",3.16,"0 | ₩204,500 (+4.55%)",2.98,"0 | ₩372,000 (+12.05%)",3.19,"0 | ₩118,500 (+0.08%)",2.39,"🔴▲ 4 | ₩21,300 (+20.34%)",1.9,"0 | ₩220,000 (+4.27%)",,,,,,,,,,,,
2026-03-06,9.24,"0 | ₩832,000 (-0.60%)",6.32,"0 | ₩410,500 (+4.59%)",7.56,"0 | ₩71,000 (+7.41%)",5.19,"0 | ₩353,500 (+2.02%)",5.48,"0 | ₩124,900 (-1.26%)",4.77,"0 | ₩134,600 (+11.24%)",4,"0 | ₩131,400 (+3.55%)",3.71,"0 | ₩250,500 (+6.60%)",3.94,"🔴▲ 1 | ₩17,560 (+9.27%)",3.79,"0 | ₩353,000 (+2.92%)",0,"🔵▼ 1,200 | ₩46,300 (+0.98%)",3.62,"0 | ₩190,300 (+7.45%)",3.81,"0 | ₩123,800 (+2.48%)",6.37,"🔵▼ 38 | ₩182,600 (+0.00%)",3.92,"🔵▼ 88 | ₩22,500 (+9.22%)",2.9,"0 | ₩377,500 (+1.62%)",2.9,"0 | ₩214,500 (+4.89%)",2.94,"0 | ₩373,000 (+0.27%)",2.8,"0 | ₩118,700 (+0.17%)",2.53,"0 | ₩22,300 (+4.69%)",1.74,"0 | ₩226,000 (+2.73%)",2.54,"🔴▲ 68 | ₩170,000 (+5.72%)",,,,,,,,,,
2026-03-09,8.85,"0 | ₩739,000 (-11.18%)",6.36,"0 | ₩389,000 (-5.24%)",7.82,"0 | ₩64,200 (-9.58%)",5.1,"0 | ₩336,000 (-4.95%)",5.21,"0 | ₩118,200 (-5.36%)",5.11,"0 | ₩125,000 (-7.13%)",3.99,"0 | ₩128,100 (-2.51%)",3.81,"0 | ₩233,000 (-6.99%)",4.14,"0 | ₩16,890 (-3.82%)",3.75,"0 | ₩346,000 (-1.98%)",0,"🔵▼ 1,200 | ₩47,900 (+3.46%)",3.74,"0 | ₩189,700 (-0.32%)",3.76,"0 | ₩120,100 (-2.99%)",6.13,"0 | ₩172,900 (-5.31%)",4.12,"0 | ₩20,900 (-7.11%)",2.84,"0 | ₩359,500 (-4.77%)",2.93,"0 | ₩213,500 (-0.47%)",2.83,"0 | ₩366,500 (-1.74%)",2.71,"0 | ₩118,900 (+0.17%)",2.55,"0 | ₩20,850 (-6.50%)",1.72,"0 | ₩218,500 (-3.32%)",2.58,"0 | ₩163,800 (-3.65%)",,,,,,,,,,
2026-03-10,8.3,"0 | ₩766,000 (+3.65%)",5.62,"🔵▼ 24 | ₩403,500 (+3.73%)",7.47,"0 | ₩63,700 (-0.78%)",5.12,"0 | ₩343,500 (+2.23%)",5.21,"0 | ₩119,800 (+1.35%)",6.82,"🔴▲ 180 | ₩134,100 (+7.28%)",3.6,"🔵▼ 50 | ₩135,000 (+5.39%)",3.37,"🔵▼ 20 | ₩258,500 (+10.94%)",4.21,"0 | ₩17,510 (+3.67%)",3.89,"0 | ₩351,500 (+1.59%)",0,"🔵▼ 1,200 | ₩51,100 (+6.68%)",3.94,"0 | ₩185,200 (-2.37%)",3.86,"0 | ₩136,000 (+13.24%)",6.65,"🔴▲ 37 | ₩191,000 (+10.47%)",4.18,"🔴▲ 83 | ₩21,800 (+4.31%)",2.86,"0 | ₩367,000 (+2.09%)",3.08,"0 | ₩219,500 (+2.81%)",2.94,"0 | ₩375,500 (+2.46%)",2.86,"0 | ₩119,000 (+0.08%)",2.52,"0 | ₩21,900 (+5.04%)",1.75,"0 | ₩237,000 (+8.47%)",2.35,"🔵▼ 21 | ₩164,500 (+0.43%)",,,,,,,,,,
2026-03-11,8.26,"0 | ₩748,000 (-2.35%)",5.59,"0 | ₩400,000 (-0.87%)",7.11,"0 | ₩63,200 (-0.78%)",5.02,"0 | ₩345,000 (+0.44%)",5.06,"0 | ₩119,500 (-0.25%)",7.02,"0 | ₩147,500 (+9.99%)",3.64,"0 | ₩131,200 (-2.81%)",3.58,"0 | ₩249,000 (-3.68%)",4.18,"0 | ₩18,300 (+4.51%)",3.79,"0 | ₩353,500 (+0.57%)",0,"🔵▼ 1,200 | ₩50,900 (-0.39%)",3.69,"0 | ₩182,400 (-1.51%)",4.19,"0 | ₩140,100 (+3.01%)",7.04,"0 | ₩190,700 (-0.16%)",4.19,"0 | ₩20,800 (-4.59%)",2.8,"0 | ₩369,500 (+0.68%)",3.04,"0 | ₩210,000 (-4.33%)",2.89,"0 | ₩360,000 (-4.13%)",2.75,"0 | ₩119,000 (+0.00%)",2.54,"0 | ₩22,750 (+3.88%)",1.82,"0 | ₩227,500 (-4.01%)",2.27,"0 | ₩161,600 (-1.76%)",,,,,,,,,,
2026-03-12,8.03,"0 | ₩760,000 (+1.60%)",5.52,"0 | ₩400,000 (+0.00%)",7.03,"0 | ₩66,600 (+5.38%)",5.03,"0 | ₩347,500 (+0.72%)",5.03,"0 | ₩121,700 (+1.84%)",7.68,"🔵▼ 1 | ₩144,500 (-2.03%)",3.51,"🔵▼ 1 | ₩131,200 (+0.00%)",3.44,"0 | ₩256,500 (+3.01%)",4.36,"0 | ₩18,220 (-0.44%)",2.17,"🔵▼ 60 | ₩355,000 (+0.42%)",0,"🔵▼ 1,200 | ₩53,100 (+4.32%)",3.62,"0 | ₩181,200 (-0.66%)",4.3,"0 | ₩142,300 (+1.57%)",7.01,"0 | ₩208,000 (+9.07%)",3.98,"0 | ₩20,750 (-0.24%)",2.81,"0 | ₩384,000 (+3.92%)",2.9,"0 | ₩212,000 (+0.95%)",2.76,"0 | ₩372,500 (+3.47%)",2.74,"0 | ₩119,300 (+0.25%)",2.62,"0 | ₩22,100 (-2.86%)",1.75,"0 | ₩226,000 (-0.66%)",2.02,"🔵▼ 16 | ₩158,000 (-2.23%)",3.35,"🔴▲ 2,911 | ₩7,670 (+7.12%)",,,,,,,,
2026-03-13,8.04,"0 | ₩751,000 (-1.18%)",5.44,"0 | ₩388,000 (-3.00%)",7.3,"0 | ₩66,200 (-0.60%)",4.99,"0 | ₩337,000 (-3.02%)",5.05,"0 | ₩112,600 (-7.48%)",7.42,"0 | ₩151,300 (+4.71%)",3.46,"0 | ₩130,300 (-0.69%)",3.49,"0 | ₩258,500 (+0.78%)",4.28,"0 | ₩18,550 (+1.81%)",2.12,"🔵▼ 1 | ₩361,500 (+1.83%)",0,"🔵▼ 1,200 | ₩52,400 (-1.32%)",3.55,"0 | ₩188,000 (+3.75%)",4.3,"0 | ₩143,400 (+0.77%)",7.53,"0 | ₩194,200 (-6.63%)",3.91,"0 | ₩19,900 (-4.10%)",2.87,"0 | ₩369,000 (-3.91%)",2.89,"0 | ₩228,500 (+7.78%)",2.82,"0 | ₩361,500 (-2.95%)",2.71,"0 | ₩119,000 (-0.25%)",2.51,"0 | ₩22,000 (-0.45%)",1.71,"0 | ₩244,500 (+8.19%)",1.95,"0 | ₩150,500 (-4.75%)",3.65,"🔴▲ 193 | ₩7,400 (-3.52%)",,,,,,,,
2026-03-16,8.02,"0 | ₩720,000 (-4.13%)",4.44,"🔵▼ 30 | ₩383,000 (-1.29%)",7.32,"0 | ₩69,300 (+4.68%)",4.88,"0 | ₩333,500 (-1.04%)",4.71,"0 | ₩109,300 (-2.93%)",7.83,"0 | ₩138,500 (-8.46%)",3.47,"0 | ₩126,800 (-2.69%)",3.55,"0 | ₩249,000 (-3.68%)",4.24,"🔵▼ 104 | ₩18,300 (-1.35%)",2.01,"🔵▼ 6 | ₩350,000 (-3.18%)",0,"🔵▼ 1,200 | ₩52,800 (+0.76%)",6.45,"🔴▲ 191 | ₩187,000 (-0.53%)",4.37,"0 | ₩133,500 (-6.90%)",7.09,"0 | ₩193,200 (-0.51%)",1.52,"🔵▼ 1,495 | ₩19,500 (-2.01%)",2.79,"0 | ₩366,000 (-0.81%)",3.14,"0 | ₩226,000 (-1.09%)",2.76,"0 | ₩355,000 (-1.80%)",2.72,"0 | ₩119,200 (+0.17%)",2.52,"0 | ₩22,700 (+3.18%)",1.86,"0 | ₩234,500 (-4.09%)",0,"🔵▼ 163 | ₩145,900 (-3.06%)",3.73,"🔴▲ 311 | ₩7,270 (-1.76%)",2.62,"🔴▲ 500 | ₩65,000 (-5.52%)",,,,,,
2026-03-17,7.86,"0 | ₩721,000 (+0.14%)",4.48,"0 | ₩389,000 (+1.57%)",7.83,"0 | ₩62,700 (-9.52%)",4.94,"0 | ₩342,500 (+2.70%)",4.68,"0 | ₩110,900 (+1.46%)",7.33,"0 | ₩130,900 (-5.49%)",3.45,"0 | ₩125,000 (-1.42%)",3.49,"0 | ₩252,000 (+1.20%)",4.28,"0 | ₩17,880 (-2.30%)",1.99,"0 | ₩365,000 (+4.29%)",0,"🔵▼ 1,200 | ₩50,400 (-4.55%)",6.56,"0 | ₩191,000 (+2.14%)",4.16,"0 | ₩129,200 (-3.22%)",7.21,"0 | ₩187,500 (-2.95%)",1.52,"0 | ₩19,710 (+1.08%)",2.82,"0 | ₩380,500 (+3.96%)",3.17,"0 | ₩224,500 (-0.66%)",2.77,"0 | ₩354,500 (-0.14%)",2.79,"0 | ₩119,100 (-0.08%)",2.66,"0 | ₩22,850 (+0.66%)",1.83,"0 | ₩232,500 (-0.85%)",0,"🔵▼ 163 | ₩149,300 (+2.33%)",3.74,"0 | ₩7,220 (-0.69%)",2.53,"0 | ₩56,300 (-13.38%)",,,,,,
2026-03-18,7.96,"0 | ₩740,000 (+2.64%)",4.6,"0 | ₩405,000 (+4.11%)",7.17,"0 | ₩62,500 (-0.32%)",5.13,"0 | ₩349,500 (+2.04%)",4.8,"0 | ₩114,300 (+3.07%)",7.01,"0 | ₩135,600 (+3.59%)",3.44,"0 | ₩127,500 (+2.00%)",3.58,"0 | ₩263,000 (+4.37%)",4.23,"0 | ₩18,090 (+1.17%)",2.1,"0 | ₩367,500 (+0.68%)",0,"🔵▼ 1,200 | ₩48,750 (-3.27%)",6.78,"0 | ₩195,500 (+2.36%)",4.08,"0 | ₩127,400 (-1.39%)",7.08,"0 | ₩193,200 (+3.04%)",1.56,"0 | ₩20,400 (+3.50%)",2.97,"0 | ₩383,500 (+0.79%)",3.19,"0 | ₩230,000 (+2.45%)",2.8,"0 | ₩355,000 (+0.14%)",2.82,"0 | ₩119,100 (+0.00%)",2.71,"0 | ₩24,050 (+5.25%)",1.83,"0 | ₩234,000 (+0.65%)",0,"🔵▼ 163 | ₩154,000 (+3.15%)",3.76,"0 | ₩7,030 (-2.63%)",2.22,"0 | ₩55,700 (-1.07%)",,,,,,
2026-03-19,8.03,"0 | ₩718,000 (-2.97%)",4.71,"0 | ₩402,500 (-0.62%)",7.02,"0 | ₩57,000 (-8.80%)",5.14,"0 | ₩338,000 (-3.29%)",4.86,"0 | ₩110,300 (-3.50%)",7.13,"0 | ₩139,400 (+2.80%)",3.45,"0 | ₩123,200 (-3.37%)",3.67,"0 | ₩267,000 (+1.52%)",4.2,"0 | ₩17,170 (-5.09%)",2.08,"0 | ₩354,500 (-3.54%)",0,"🔵▼ 1,200 | ₩45,850 (-5.95%)",6.82,"0 | ₩190,000 (-2.81%)",3.95,"0 | ₩123,400 (-3.14%)",7.17,"0 | ₩186,200 (-3.62%)",1.58,"0 | ₩19,820 (-2.84%)",2.94,"0 | ₩371,000 (-3.26%)",3.21,"0 | ₩221,000 (-3.91%)",2.75,"0 | ₩360,000 (+1.41%)",2.77,"0 | ₩119,100 (+0.00%)",2.8,"0 | ₩22,850 (-4.99%)",1.81,"0 | ₩232,000 (-0.85%)",0,"🔵▼ 163 | ₩151,100 (-1.88%)",3.6,"0 | ₩7,390 (+5.12%)",2.16,"0 | ₩60,500 (+8.62%)",,,,,,
2026-03-20,7.97,"0 | ₩659,000 (-8.22%)",4.78,"0 | ₩400,500 (-0.50%)",4.52,"🔵▼ 450 | ₩59,200 (+3.86%)",5.09,"0 | ₩343,500 (+1.63%)",4.8,"0 | ₩113,900 (+3.26%)",7.5,"0 | ₩143,700 (+3.08%)",3.41,"0 | ₩120,500 (-2.19%)",3.81,"0 | ₩261,000 (-2.25%)",4.08,"0 | ₩16,520 (-3.79%)",2.08,"🔴▲ 1 | ₩344,000 (-2.96%)",0,"🔵▼ 1,200 | ₩44,750 (-2.40%)",4.52,"🔵▼ 150 | ₩190,500 (+0.26%)",3.91,"0 | ₩121,500 (-1.54%)",7.07,"0 | ₩176,100 (-5.42%)",1.57,"🔵▼ 1 | ₩19,980 (+0.81%)",2.91,"0 | ₩375,500 (+1.21%)",3.15,"0 | ₩228,000 (+3.17%)",2.85,"0 | ₩353,500 (-1.81%)",2.83,"0 | ₩119,300 (+0.17%)",2.72,"0 | ₩22,300 (-2.41%)",1.84,"0 | ₩235,500 (+1.51%)",0,"🔵▼ 163 | ₩150,900 (-0.13%)",3.84,"🔵▼ 46 | ₩7,440 (+0.68%)",2.39,"🔵▼ 1 | ₩73,900 (+22.15%)",3.11,"🔴▲ 979 | ₩19,020 (-3.06%)",,,,
2026-03-23,0,"🔵▼ 140 | ₩594,000 (-9.86%)",4.76,"0 | ₩376,500 (-5.99%)",4.69,"🔴▲ 1 | ₩56,000 (-5.41%)",5.17,"0 | ₩325,000 (-5.39%)",4.95,"0 | ₩105,600 (-7.29%)",7.73,"0 | ₩132,600 (-7.72%)",3.33,"0 | ₩110,100 (-8.63%)",3.72,"0 | ₩238,000 (-8.81%)",3.92,"0 | ₩15,410 (-6.72%)",5.15,"🔴▲ 115 | ₩290,500 (-15.55%)",0,"🔵▼ 1,200 | ₩42,050 (-6.03%)",4.53,"0 | ₩168,800 (-11.39%)",3.85,"0 | ₩120,500 (-0.82%)",6.68,"0 | ₩163,800 (-6.98%)",1.58,"0 | ₩18,550 (-7.16%)",2.94,"0 | ₩356,000 (-5.19%)",3.25,"0 | ₩214,000 (-6.14%)",2.8,"0 | ₩330,500 (-6.51%)",2.83,"0 | ₩118,600 (-0.59%)",2.66,"0 | ₩20,750 (-6.95%)",1.87,"0 | ₩228,000 (-3.18%)",0,"🔵▼ 163 | ₩139,600 (-7.49%)",3.86,"🔵▼ 5 | ₩7,350 (-1.21%)",3.51,"🔴▲ 101 | ₩63,200 (-14.48%)",3.01,"🔵▼ 1 | ₩17,040 (-10.41%)",2.87,"🔴▲ 10 | ₩941,000 (+3.75%)",,
2026-03-24,0,"🔵▼ 140 | ₩602,000 (+1.35%)",4.9,"0 | ₩397,500 (+5.58%)",4.65,"0 | ₩56,600 (+1.07%)",5.3,"0 | ₩339,500 (+4.46%)",4.96,"0 | ₩110,100 (+4.26%)",6.83,"0 | ₩122,500 (-7.62%)",3.26,"0 | ₩113,800 (+3.36%)",3.83,"0 | ₩259,000 (+8.82%)",4.16,"0 | ₩16,900 (+9.67%)",4.55,"0 | ₩293,000 (+0.86%)",0,"🔵▼ 1,200 | ₩43,000 (+2.26%)",4.26,"0 | ₩172,900 (+2.43%)",4.21,"0 | ₩128,100 (+6.31%)",7.27,"0 | ₩184,900 (+12.88%)",1.58,"0 | ₩19,260 (+3.83%)",3.19,"0 | ₩392,500 (+10.25%)",3.22,"0 | ₩217,500 (+1.64%)",2.92,"0 | ₩355,500 (+7.56%)",2.92,"0 | ₩118,600 (+0.00%)",2.57,"0 | ₩20,800 (+0.24%)",1.94,"0 | ₩236,500 (+3.73%)",0,"🔵▼ 163 | ₩149,000 (+6.73%)",4.44,"0 | ₩8,250 (+12.24%)",3.06,"0 | ₩62,000 (-1.90%)",3.04,"0 | ₩18,530 (+8.74%)",3,"🔵▼ 1 | ₩936,000 (-0.53%)",,
2026-03-25,0,"🔵▼ 140 | ₩605,000 (+0.50%)",4.9,"0 | ₩404,000 (+1.64%)",4.65,"0 | ₩54,700 (-3.36%)",5.3,"0 | ₩342,000 (+0.74%)",4.96,"0 | ₩114,100 (+3.63%)",6.83,"0 | ₩116,600 (-4.82%)",3.26,"0 | ₩114,800 (+0.88%)",3.83,"0 | ₩257,500 (-0.58%)",4.16,"0 | ₩17,800 (+5.33%)",4.55,"0 | ₩304,500 (+3.92%)",0,"🔵▼ 1,200 | ₩46,150 (+7.33%)",4.26,"0 | ₩172,300 (-0.35%)",4.21,"0 | ₩133,200 (+3.98%)",7.27,"0 | ₩192,800 (+4.27%)",1.58,"0 | ₩20,000 (+3.84%)",3.19,"0 | ₩394,000 (+0.38%)",3.22,"0 | ₩227,500 (+4.60%)",2.92,"0 | ₩358,500 (+0.84%)",2.92,"0 | ₩118,600 (+0.00%)",2.57,"0 | ₩27,000 (+29.81%)",1.94,"0 | ₩240,500 (+1.69%)",0,"🔵▼ 163 | ₩151,300 (+1.54%)",4.44,"0 | ₩9,170 (+11.15%)",3.06,"0 | ₩70,600 (+13.87%)",3.04,"0 | ₩20,150 (+8.74%)",3,"0 | ₩1,115,000 (+19.12%)",,
2026-03-26,0,"0 | ₩605,000 (+0.50%)",4.8,"0 | ₩404,000 (+1.64%)",4.34,"0 | ₩54,700 (-3.36%)",5.15,"0 | ₩342,000 (+0.74%)",4.96,"0 | ₩114,100 (+3.63%)",4.62,"0 | ₩116,600 (-4.82%)",3.17,"0 | ₩114,800 (+0.88%)",3.67,"0 | ₩257,500 (-0.58%)",4.23,"0 | ₩17,800 (+5.33%)",4.56,"0 | ₩304,500 (+3.92%)",0,"0 | ₩46,150 (+7.33%)",4.09,"0 | ₩172,300 (-0.35%)",4.22,"0 | ₩133,200 (+3.98%)",7.31,"0 | ₩192,800 (+4.27%)",1.58,"0 | ₩20,000 (+3.84%)",4.68,"0 | ₩394,000 (+0.38%)",3.24,"0 | ₩227,500 (+4.60%)",2.84,"0 | ₩358,500 (+0.84%)",2.82,"0 | ₩118,600 (+0.00%)",3.22,"0 | ₩27,000 (+29.81%)",1.9,"0 | ₩240,500 (+1.69%)",0,"0 | ₩151,300 (+1.54%)",4.76,"0 | ₩9,170 (+11.15%)",3.35,"0 | ₩70,600 (+13.87%)",3.19,"0 | ₩20,150 (+8.74%)",3.44,"0 | ₩1,115,000 (+19.12%)",,
2026-03-27,0,"0 | ₩558,000 (-7.77%)",4.77,"0 | ₩396,500 (-1.86%)",4.11,"0 | ₩51,200 (-6.40%)",5.22,"0 | ₩342,500 (+0.15%)",3.12,"🔵▼ 199 | ₩111,300 (-2.45%)",4.85,"🔵▼ 1 | ₩121,200 (+3.95%)",3.02,"0 | ₩108,000 (-5.92%)",3.54,"0 | ₩245,500 (-4.66%)",3.78,"0 | ₩15,720 (-11.69%)",4.61,"0 | ₩304,000 (-0.16%)",0,"0 | ₩50,100 (+8.56%)",4.33,"0 | ₩179,900 (+4.41%)",4.11,"0 | ₩128,000 (-3.90%)",7.07,"0 | ₩184,000 (-4.56%)",1.6,"0 | ₩19,980 (-0.10%)",4.6,"🔵▼ 1 | ₩384,500 (-2.41%)",3.26,"0 | ₩225,500 (-0.88%)",3.06,"0 | ₩381,000 (+6.28%)",2.86,"0 | ₩118,700 (+0.08%)",3.97,"🔴▲ 246 | ₩28,250 (+4.63%)",1.94,"0 | ₩241,500 (+0.42%)",0,"0 | ₩146,000 (-3.50%)",4.89,"0 | ₩9,300 (+1.42%)",3.3,"0 | ₩68,500 (-2.97%)",3.34,"0 | ₩20,800 (+3.23%)",3.62,"0 | ₩1,158,000 (+3.86%)",3.19,"🔴▲ 300 | ₩132,500 (+4.99%)"
