Date,하이브,하이브_증감,펄어비스,펄어비스_증감,엘앤씨바이오,엘앤씨바이오_증감,신세계,신세계_증감,올릭스,올릭스_증감,휴젤,휴젤_증감,CJ,CJ_증감,서부T&D,서부T&D_증감,에이피알,에이피알_증감,와이지엔터테인먼트,와이지엔터테인먼트_증감,JYP Ent.,JYP Ent._증감,에스엠,에스엠_증감,롯데쇼핑,롯데쇼핑_증감,한스바이오메드,한스바이오메드_증감,CJ ENM,CJ ENM_증감,파마리서치,파마리서치_증감,코스메카코리아,코스메카코리아_증감,제닉,제닉_증감,아이티센글로벌,아이티센글로벌_증감,클래시스,클래시스_증감,현금,현금_증감,삼양식품,삼양식품_증감
2026-03-03,9.22,-,6.37,-,6.25,-,5.84,-,5.71,-,5.35,-,5.2,-,4.96,-,4.96,-,4.69,-,4.43,-,3.66,-,3.42,-,3.2,-,2.88,-,2.77,-,2.68,-,2.41,-,2.32,-,2.32,-,,,,
2026-03-04,8.91,0,7.43,0,5.71,0,5.94,0,6.41,0,5.28,0,5.13,0,5.06,0,4.71,0,4.47,0,4.3,0,3.52,0,3.43,0,3.17,0,2.8,0,2.71,0,2.56,0,2.4,0,2.4,0,2.31,0,,,,
2026-03-05,9.05,0,7.47,0,5.59,0,5.9,0,6.03,0,5.4,0,5.19,0,5.0,0,4.93,0,4.62,0,4.29,0,3.54,0,3.4,0,3.15,0,2.81,0,2.66,0,2.61,0,2.29,0,2.21,0,2.27,0,,,,
2026-03-06,8.9,0,7.12,0,5.73,0,5.84,0,6.79,0,5.58,0,4.78,0,4.89,0,4.9,0,4.44,0,4.26,0,3.41,0,3.32,0,3.19,0,2.79,0,2.74,0,2.55,0,2.45,0,2.63,0,2.38,0,,,,
2026-03-09,8.8,0,7.33,0,5.86,0,5.55,0,6.88,0,5.43,0,4.58,0,4.87,0,5.08,0,4.62,0,4.33,0,3.48,0,3.22,0,3.37,0,2.74,0,2.77,0,2.55,0,2.85,0,2.48,0,2.3,0,,,,
2026-03-10,8.91,0,8.51,0,5.63,0,5.37,0,6.97,0,5.35,0,4.42,0,4.86,0,5.09,0,4.44,0,4.29,0,3.52,0,3.16,0,3.04,0,2.79,0,2.71,0,2.5,0,2.88,0,2.4,0,2.28,0,,,,
2026-03-11,8.95,0,8.21,0,5.62,0,5.61,0,6.32,0,5.41,0,4.51,0,4.86,0,5.12,0,4.52,0,4.25,0,3.5,0,3.19,0,2.92,0,2.74,0,2.72,0,2.51,0,3.11,0,2.64,0,2.31,0,,,,
2026-03-12,9.01,0,7.82,0,5.5,0,5.81,0,6.11,0,5.26,0,4.65,0,4.83,0,5.42,0,4.32,0,4.4,0,3.35,0,3.34,0,2.9,0,2.67,0,2.7,0,2.42,0,3.11,0,2.85,0,2.32,0,,,,
2026-03-13,9.03,0,7.64,0,5.37,0,5.71,0,6.13,0,5.18,0,4.59,0,5.03,0,5.47,0,4.28,0,4.5,0,3.36,0,3.3,0,2.98,0,2.69,0,2.66,0,2.39,0,3.3,0,3.05,0,2.31,0,,,,
2026-03-16,9.06,0,6.59,🔵▼ 300,3.32,🔵▼ 300,5.45,0,6.56,🔴▲ 1,5.0,0,4.42,0,4.95,🔵▼ 7,5.72,0,4.77,🔴▲ 100,4.47,🔴▲ 2,3.41,🔴▲ 1,3.21,0,1.42,🔵▼ 400,2.66,🔴▲ 1,2.58,🔵▼ 3,2.44,🔴▲ 1,3.23,🔵▼ 32,4.12,🔴▲ 200,2.25,🔵▼ 1,3.63,"🔴▲ 29,910,162",,
2026-03-17,8.79,0,6.88,0,3.29,0,5.84,0,6.27,0,5.06,0,4.69,0,4.96,0,5.5,0,4.66,0,4.39,0,3.34,0,3.43,0,1.34,0,2.68,0,2.5,0,2.41,0,3.38,0,4.07,0,2.2,0,3.66,"🔴▲ 234,127",,
2026-03-18,9.08,0,6.33,0,3.3,0,5.71,0,6.21,0,5.18,0,4.8,0,4.94,0,5.79,0,4.65,0,4.42,0,3.31,0,3.43,0,1.46,0,2.64,0,2.57,0,2.44,0,3.23,0,4.07,0,2.16,0,3.61,"🔵▼ 138,532",,
2026-03-19,8.98,0,4.28,🔵▼ 400,3.25,0,5.63,0,6.21,0,5.49,0,4.89,0,4.9,0,8.85,🔴▲ 100,4.56,🔵▼ 1,4.36,0,3.26,0,3.44,0,1.78,🔴▲ 1,2.61,0,2.54,0,2.45,0,2.94,🔵▼ 1,3.82,0,0.89,🔵▼ 299,3.95,"🔴▲ 4,904,028",1.8,0
2026-03-20,8.95,0,3.1,0,3.17,0,5.65,0,6.13,0,5.51,0,4.97,0,4.99,0,9.31,0,4.55,0,4.51,0,3.28,0,3.62,0,1.88,0,2.6,0,2.62,0,2.49,0,2.91,0,3.84,0,0.88,0,4.1,"🔴▲ 246,613",1.85,0
2026-03-23,8.66,0,2.79,0,3.18,0,5.77,0,6.29,0,5.6,0,5.21,0,4.97,0,9.05,0,4.51,0,4.46,0,3.3,0,3.81,0,1.78,0,2.62,0,2.65,0,2.58,0,3.07,0,3.61,0,0.9,0,4.06,"🔵▼ 356,894",1.93,0
2026-03-24,7.89,"0 | ₩290,500 (-15.55%)",3.02,"0 | ₩41,750 (+0.60%)",3.29,"0 | ₩72,600 (-4.10%)",5.78,"0 | ₩319,500 (-7.12%)",6.4,"0 | ₩176,500 (-5.56%)",5.66,"0 | ₩250,000 (-6.37%)",5.29,"0 | ₩194,900 (-5.85%)",5.13,"0 | ₩14,210 (-4.25%)",8.81,"0 | ₩324,500 (-9.74%)",4.39,"0 | ₩54,000 (-9.70%)",4.48,"0 | ₩61,700 (-6.80%)",3.24,"0 | ₩89,200 (-9.16%)",3.64,"0 | ₩100,600 (-11.37%)",1.77,"0 | ₩48,700 (-8.11%)",2.65,"0 | ₩58,500 (-5.95%)",2.7,"0 | ₩307,500 (-5.38%)",2.81,"0 | ₩77,300 (+0.65%)",3.13,"0 | ₩23,600 (-5.41%)",3.3,"0 | ₩52,100 (-15.28%)",0.92,"0 | ₩50,600 (-5.24%)",4.34,"🔵▼ 328,015",2.06,"0 | ₩1,137,000 (-1.22%)"
